YEAR,QTR,WEEK,PRODUCT,INDUSTRY_UNITS
2010,2010-Q1,2010-01,2 Door Bottom Mount,5601
2010,2010-Q1,2010-01,Built-in Ovens,11282
2010,2010-Q1,2010-01,Cooktops,10659
2010,2010-Q1,2010-01,Dishwasher,83792
2010,2010-Q1,2010-01,Dryer,86876
2010,2010-Q1,2010-01,Free Standing Ranges,93409
2010,2010-Q1,2010-01,French Door,18115
2010,2010-Q1,2010-01,Front Load,42640
2010,2010-Q1,2010-01,MHC,50155
2010,2010-Q1,2010-01,Side by Side,27041
2010,2010-Q1,2010-01,Top Load,67542
2010,2010-Q1,2010-01,Top Mount,54622
2010,2010-Q1,2010-02,2 Door Bottom Mount,5601
2010,2010-Q1,2010-02,Built-in Ovens,11414
2010,2010-Q1,2010-02,Cooktops,11530
2010,2010-Q1,2010-02,Dishwasher,88453
2010,2010-Q1,2010-02,Dryer,123893
2010,2010-Q1,2010-02,Free Standing Ranges,102269
2010,2010-Q1,2010-02,French Door,23938
2010,2010-Q1,2010-02,Front Load,59418
2010,2010-Q1,2010-02,MHC,56605
2010,2010-Q1,2010-02,Side by Side,34523
2010,2010-Q1,2010-02,Top Load,81060
2010,2010-Q1,2010-02,Top Mount,64739
2010,2010-Q1,2010-03,2 Door Bottom Mount,5601
2010,2010-Q1,2010-03,Built-in Ovens,10679
2010,2010-Q1,2010-03,Cooktops,11090
2010,2010-Q1,2010-03,Dishwasher,90256
2010,2010-Q1,2010-03,Dryer,119492
2010,2010-Q1,2010-03,Free Standing Ranges,94317
2010,2010-Q1,2010-03,Freezer,22431
2010,2010-Q1,2010-03,French Door,20081
2010,2010-Q1,2010-03,Front Load,54501
2010,2010-Q1,2010-03,MHC,56918
2010,2010-Q1,2010-03,Side by Side,31664
2010,2010-Q1,2010-03,Top Load,89441
2010,2010-Q1,2010-03,Top Mount,62239
2010,2010-Q1,2010-04,2 Door Bottom Mount,5602
2010,2010-Q1,2010-04,Built-in Ovens,13323
2010,2010-Q1,2010-04,Cooktops,12417
2010,2010-Q1,2010-04,Dishwasher,93633
2010,2010-Q1,2010-04,Dryer,121868
2010,2010-Q1,2010-04,Free Standing Ranges,102753
2010,2010-Q1,2010-04,Freezer,27632
2010,2010-Q1,2010-04,French Door,18506
2010,2010-Q1,2010-04,Front Load,49386
2010,2010-Q1,2010-04,MHC,54811
2010,2010-Q1,2010-04,Side by Side,35699
2010,2010-Q1,2010-04,Top Load,83897
2010,2010-Q1,2010-04,Top Mount,66889
2010,2010-Q1,2010-05,2 Door Bottom Mount,6903
2010,2010-Q1,2010-05,Built-in Ovens,12270
2010,2010-Q1,2010-05,Cooktops,11644
2010,2010-Q1,2010-05,Dishwasher,98361
2010,2010-Q1,2010-05,Dryer,121667
2010,2010-Q1,2010-05,Free Standing Ranges,94332
2010,2010-Q1,2010-05,French Door,23111
2010,2010-Q1,2010-05,Front Load,49472
2010,2010-Q1,2010-05,MHC,52314
2010,2010-Q1,2010-05,Side by Side,38341
2010,2010-Q1,2010-05,Top Load,101967
2010,2010-Q1,2010-05,Top Mount,59280
2010,2010-Q1,2010-06,2 Door Bottom Mount,6903
2010,2010-Q1,2010-06,Built-in Ovens,12133
2010,2010-Q1,2010-06,Cooktops,11533
2010,2010-Q1,2010-06,Dishwasher,97184
2010,2010-Q1,2010-06,Dryer,126446
2010,2010-Q1,2010-06,Free Standing Ranges,97313
2010,2010-Q1,2010-06,French Door,22023
2010,2010-Q1,2010-06,Front Load,47690
2010,2010-Q1,2010-06,MHC,47719
2010,2010-Q1,2010-06,Side by Side,34452
2010,2010-Q1,2010-06,Top Load,96235
2010,2010-Q1,2010-06,Top Mount,60620
2010,2010-Q1,2010-07,2 Door Bottom Mount,6903
2010,2010-Q1,2010-07,Built-in Ovens,12208
2010,2010-Q1,2010-07,Cooktops,12851
2010,2010-Q1,2010-07,Dishwasher,103497
2010,2010-Q1,2010-07,Dryer,132677
2010,2010-Q1,2010-07,Free Standing Ranges,111871
2010,2010-Q1,2010-07,Freezer,24714
2010,2010-Q1,2010-07,French Door,22856
2010,2010-Q1,2010-07,Front Load,51909
